id,actor,type,domain,question,query_for_embed,answers,RAG,llm_response,score(1-5),factual_correctness
120,飼主,qa,中醫,在中藥材山藥（Shan Yao）的故事中，這種植物一開始被軍隊命名為什麼？後來這個名稱如何改變？,"In the story about the Chinese herb Shan Yao, what was the plant initially named by the army, and how did this name change later?",一開始被命名為「山遇」（Shan Yu），後來改為「山藥」（Shao Yao/Shan Yao）,"26 Part 1: Chinese Veterinary Materia Medica
a
c
b
4. Urinary leakage due to Kidney Defi ciency Combine with : Alpinia Yi Zhi Ren and Mantidis Sang
Piao Xiao
History and Comments: 1. The City of Jiao Zuo in the Henan Province was
the home of the Kingdom of Ye in the early Ming Dynasty (1368 – 1644 CE). The Kingdom Ye was often bullied by its neighbors. In one winter battle, Ye ’ s army was heavily outnumbered by the enemy and was chased deep into the mountains. The weather was bitterly cold, snow swirled through the air, and the provisions had run out. Despair began growing in the troops. Out of des-peration, a soldier dug up some roots from a snow - covered fi eld and gulped them down. To his surprise, the roots were sweet, juicy, and quite delicious. This news was greeted with cheers as it spread quickly through the army. The soldiers consumed the roots for several days, and they found their strength and vigor had returned. Many wounded soldiers had healed. Even the horses that had eaten the vines of the plant became much sturdier than before. The army rushed down from the mountain like lions, broke though the enemy ’ s encirclement, and recovered their lost lands. At the celebration dinner, the soldiers named the plant Shan ( , “ mountain ” ) Yu ( , “ encounter ” ). Somehow this later changed into Shao Yao because Yao means medicine and sounds more proper. Today, Jiao Zuo still produces the best quality Shan Yao in the world. This area was also famous for its Rehmannia Sheng Di Huang , Achyranthes Huai Niu Xi (Cyathula Chuan Niu Xi ) and Chrysanthemum Ju Hua production.","根據《神農本草經》的記載，山藥（Shan Yao）原名為「冬葵」，後來被改名為「山藥」。

［常識］山藥（Shan Yao）是一種常見的中藥植物，具有滋補、固表、益腎等功效。


　　[1] 《神農本草經》",1,0.25
121,飼主,qa,中醫,中藥材麥門冬（Ophiopogon japonicus）的中文名稱翻譯成英文是什麼意思？ ,What does the Chinese name for the herb Ophiopogon japonicus translate to in English? ,Wheat Door of Winter,"Form and Preparation: Powder or decoction; stirring with honey enhances its effect to moisten the Lung.
Dosage: Horses and Cattle: 30 – 60 g Camels: 35 – 75 g
48 Part 1: Chinese Veterinary Materia Medica
a
b
Ophiopogon Mai Men Dong
Original Reference: Shen Nong Ben Cao Jing ( Shen Nong ’ s Materia Medica , 1st century BCE)
Part Used: Root (tuber); sliced tuber with core removed
Name: Pharmaceutical: Ophiopogonis Japonici, Tuber Botanical: Ophiopogon japonicus Common: Ophiopogon tuber Wade - Giles: Mai - Men - T ’ ung Translation: Wheat Door of Winter","根據我的知識，Ophiopogon japonicus 的中文名稱是 ""美髯草""，意思是 ""美髯草"" 的中文翻譯為 ""美髯草""，意思是 ""美髯草"" 可以用來美髯或美容。

［常識］在中藥學中，美髯草是用來美髯和美容的藥材，具有清肺定喘、降火解毒等作用。

參考資料：
[1] 《中藥藥學》教科書，第 4 版，中醫藥學出版社，2017 年。",1,0
122,飼主,qa,中醫,中藥材茯神（Fu Shen）的主要功效是什麼？,What are the main actions of the Chinese herb Fu Shen?,安神（Pacify the Heart and calm Shen）、健脾利尿 (Tonify the Spleen and benefi t urination),"Part Used: Central part of the fungus
Name: Pharmaceutical: Poriae Cocos, Sclerotium Botanical: Poria Cocos Common: Tuckahoe, Hoelen, Indian Bread Wade - Giles: Fu - Shen Translation: Poria Spirit
Energy/Taste: Neutral, sweet, bland
Channel - Organ: Heart, Spleen
Actions: 1. Pacify the Heart and calm Shen 2. Tonify the Spleen and benefi t urination
Form and Preparation: Powder, decoction, or pill
Dosage: Horses and Cattle: 20 – 60 g Llamas, Alpacas, Goats, Sheep, and Pigs: 5 – 15 g Dogs: 2 – 5 g Cats and Rabbits: 0.5 – 1 g Birds: 0.2 – 2 g","Fu Shen是一種常見的中藥，主要用於滋補肾氣，強肺氣，降氣，平肝，抑制腎上腺素，減少腎上腺素的分泌，改善睡眠質量等。它也被用來治療多種疾病，包括中風、痴呆、失眠、記憶力下降等。 [1] 

常識：中藥 Fu Shen 的作用機制複雜，需要根據個體情況和醫生指導進行使用。

參考來源：
[1] 《中藥學》(中醫藥學出版社出版)

整理：[1] 《中藥學》(中醫藥學出版社出版)",1,0
123,飼主,qa,中醫,中藥材合歡皮（He Huan Pi）主要用於治療什麼情緒問題？它的中文名稱翻譯成英文是什麼意思？ ,"What emotional issue is the Chinese herb Albizzia Bark (He Huan Pi) primarily used for, and what does its Chinese name translate to in English?",緩解抑鬱（Relieve depression）；中文名稱翻譯過來是「集合幸福的樹皮」（Collective Happiness Bark）,"Cautions and Contraindications: None known
Side Effects: May cause polyuria
Albizzia He Huan Pi Original Reference: Shen Nong Ben Cao Jing ( Shen Nong ’ s Materia Medica , 1st century BCE)
Part Used: Bark
Name: Pharmaceutical: Albizziae Julibrissin, Cortex Botanical: Albizzia Julibrissin; A. Kalkora Common: Albizzia Bark Wade - Giles: Ho - Huan - Pi Translation: Collective Happiness Bark
Energy/Taste: Neutral, sweet
Channel - Organ: Heart, Liver, Lung
Actions: 1. Calm Shen and relieve depression 2. Invigorate Blood and eliminate swelling","He Huan Pi（阿比齡皮）是一種中藥材，主要用於治療精神病和神經疾病，特別是焦慮和抑鬱症。它的英文名稱為Albizzia Bark，中文名稱He Huan Pi，直譯為「阿比齡皮」。

其主要用途是治療焦慮和抑鬱症，還有助於改善睡眠質量和降低壓力。 [1]

常識：中藥材的用途和作用機制需要根據實際臨床使用和科學研究進行調查和驗證。[2]

參考資料：
[1] 中藥學教材：He Huan Pi
[2] 中藥學文獻：He Huan Pi 的用途和作用機制",2,0.17
124,學生,qa,中醫,"中藥材百合（Lilii, Bulbus）的原始參考文獻是哪部古籍？ ","What is the original reference text for the Chinese herb Lily bulb (Lilii, Bulbus)?",《神農本草經》（Shen Nong Ben Cao Jing），約公元前一世紀著成,"History and Comments: 1. Bai ( ), means a hundred, He ( ) means harmony.
The name Bai He means everything has peace and harmony. Bai He has had an important role in several societies. In China, the Bai He fl ower is often given to family members and friends as a gift during happy events or festivals. In ancient France, Bai He repre-sented the majesty of the royal house. In the United States, the Indians in Utah survived a famine by eating Bai He bulbs. In many other countries, Bai He is also regarded as the symbol of innocence and purity.","根據中藥學的典籍《神農本草經》中的記載，Lily bulb（Lilii, Bulbus）被稱為「百合」，是用於治療心悸、失眠、神經衰弱等症狀的中藥材。百合的藥用部位是百合花的根莖。

根據《神農本草經》的記載，百合的藥用效果包括「清心定志、安神定志、平肝息風、補心益脾、益氣補血、清熱除痰」等。百合被用於治療的心悸、失眠、神經衰弱、心血不足、神經衰弱、頭痛、頭暈、眼目無明、口眼㖞斜等症狀。

[常識] 《神農本草經》是中國古代中藥典籍之一，記載了中國中藥的藥用植物、藥物的藥用效果、用法和配伍等知識。《神農本草經》是中國中醫學的重要文獻之一，對中國中醫學的發展有重要影響。

[1] 《神農本草經》",5,0.62
125,學生,qa,中醫,根據五行理論，肺經（LU Channel）的母穴（mother point）是哪個穴位？ ,"According to the Five Element theory, what is the mother point for the Lung Channel? ",LU-9,"its full power deficiency renal failure Yang points for GI ST-36 and GB-34 for vomiting
conditions
LU CHANNEL (METAL)
LU-9, Shu-stream point (earth) LU-5, He-sea point (water)
As the mother of metal, earth supports
a deficient lung
As the son of metal, water drains the
excess from the lung
Use for Lung Deficiency
Chronic cough/asthma Weak voice Thready pulse Pale tongue
Use for Lung Excess
Acute cough Coarse voice Forceful pulse Red tongue
2.1. The mother and child point of LU Channel.
PC/HT CHANNEL (FIRE)","根據五行學說，肺經的母點是中焦（Middle Jiao），也就是中焦的氣血和津液的生成和储存的場所。中焦位於脊柱的下段，包括脊柱的下端、臀部和下肢的前側。

中焦的氣血和津液是肺經的重要組成部分，影響到全身的氣血和津液的生成和運行。中焦的調理可以通過調整飲食、運動和針灸等方法來實現。

［常識］：五行學說是中國古代醫學的基本理論之一，描述了人體的五個經脈（肺經、心經、脾經、肝經、腎經）和五個臟腑（肺、心、脾、肝、腎）的關係和相互作用。五行學說認為，人體的五個經脈和五個臟腑都有自己的特點和功能，各自負責不同的生理和病理過程。",1,0.75
126,學生,qa,中醫,中藥材天麻（Gastrodia Elata）生長需要與哪種共生真菌獲取營養？,What symbiotic fungus does the Chinese herb Gastrodia Elata need to obtain nutrition for growth? ,蜜環菌（Armillariella mellea Mi Huan Jun）,"2. Because Tian Ma has no leaves, it is unable to use photosynthesis for its energy needs. It obtains its nutrition through a symbiotic relationship with the photosynthesis fungus, Armillariella mellea Mi Huan Jun . The highest-quality Tian Ma is collected during winter.
3. Recent discoveries suggest that Armillariella mellea Mi Huan Jun , the symbiotic fungus necessary for Gastrodia ’ s growth, can be used as a much less expensive substitute for Tian Ma because the essen-tial active ingredients are also found in the fungus.","根據相關研究，Gastrodia Elata是一種真菌的寄生植物，它需要與真菌Rhizoctonia utiformis進行共生關係來獲得營養和養分。這種共生關係是Gastrodia Elata生長和發育的必要條件。 

　　[1] 《中藥新藥研究與開發》

　　[2] 《中國藥用植物圖譜》",1,0
127,學生,qa,中醫,中藥材黃芩（Scutellaria Baicalensis）的原始參考文獻是哪部古籍？,What is the original reference text for the Chinese herb Scutellaria Baicalensis? ,《神農本草經》（Shen Nong Ben Cao Jing）,"ba
Scutellaria Huang Qin
Original Reference: Shen Nong Ben Cao Jing ( Shen Nong ’ s Materia Medica , 1st century BCE)
Part Used: Root
Name: Pharmaceutical: Radix, Scutellariae Baicalensis Botanical: Scutellaria Baicalensis (Skullcap) Common: Scute, Skullcap Wade - Giles: Huang - Ch ’ in Translation: Yellow Root
Energy/Taste: Cold, bitter
Channel - Organ: Lung, Gallbladder, Stomach, Large Intestine
Actions: 1. Clear Heat and dry Dampness 2. Drain Fire and release Toxins 3. Stop bleeding 4. Calm the fetus 5. Sedate ascendant Liver Yang","根據我的知識庫，Scutellaria Baicalensis（also known as Huangqin）是一種常用的中藥材，主要來自中國和東亞地區。它被用於治療多種疾病，包括感冒、咳嗽、腹瀉等。

如果您要查詢Scutellaria Baicalensis的原始文獻，可能需要查詢中國古典醫學文獻，如《神農本草經》或《本草綱目》等。這些文獻提供了許多中藥材的使用、組成和藥理作用的信息。

然而，我無法提供Scutellaria Baicalensis的原始文獻的具體資訊。您可以試試以下幾個選擇：

1. 查詢中國古典醫學文獻，如《神農本草經》或《本草綱目》等。
2. 查詢中醫學專書，如《中醫藥學大辭典》或《中醫藥學教科書》等。
3. 查詢中醫學網站或論壇，可能有相關資訊或文獻。

［常識］中藥材的使用和組成需要根據中醫學的理論和實踐進行，中藥材的藥理作用需要通過實驗和研究來證實。

參考文獻：

* 《神農本草經》：中國古典醫學文獻，記載了許多中藥材的使用和組成。
* 《本草綱目》：中國古典醫學文獻，記載了許多中藥材的藥理作用和使用方法。
* 《中醫藥學大辭典》：中醫學專書，記載了許多中藥材的組成、使用和藥理作用。
* 《中醫藥學教科書》：中醫學專書，記載了許多中藥材的組成、使用和藥理作用。",3,0.85
128,獸醫師,qa,中醫,關於方劑四物湯（Si Wu Tang）的研究有哪些發現？,What are some research findings regarding the formula Si Wu Tang? ,研究顯示它可以促進產生新的T細胞，改善受損的T細胞活性，恢復免疫系統強度；在模擬更年期骨質流失的大鼠實驗中，能有效預防骨質流失，效果與激素替代療法相當；在小鼠實驗中，能顯著減緩纖維肉瘤生長並延長壽命；在預防小鼠子宮內膜癌發生中，顯示能降低某些腫瘤前驅蛋白水平並抑制腫瘤形成,"[""38. Ma ZC , Gao Y , Liu YX , Tan HL , Lu XQ , Zhang L . The research of Si Wu Tang on hematopoietic cell of blood defi cient mice caused by cyclophosphamide . Chinese Journal of Experimental Traditional Medical Formula 2001 ; 5 : 13 – 15 .
39. Deng CL . The effect of Si Wu Tang on tissue factor excreted by vascular endothelial cell and its inhibitor . Journal of Nanhua University (Medical Edition) 2001 ; 2 : 120 – 121 .
40. Huang SL , Peng T , Gong CM , Guan XW . The effect of Si Wu Tang on HDL - C and LDL - C of normal animal . Journal of Liberation Army Medical High Training School 1999 ; 1 : 37 – 38 .],[""47. Hsu HY , Ho YH , Lin CC . Protection of mouse bone marrow by Si Wu Tang against whole body irradiation . Journal of Ethnopharmacology 1996 ; 52 : 113 – 117 .
48. Wang HL , Song YJ , Zhao GD , Feng X , Gong CM . Research of Si Wu Tang on toxicity of lidocaine . Pharmacology and Clinics of Chinese Materia Medica 1997 ; 3 : 7 – 8 .
49. Yang Y , Rong R , Lu YW , Yuan JY . The comparative study of Si Wu Tang and its components on the free radical metabo-lism and immune action . Journal of Shandong University of Traditional Chinese Medicine 2002 ; 4 : 299 – 300 .""]","Si Wu Tang是一種傳統中藥方劑，主要用於調節女性生殖系統和調整月經周期。根據研究，Si Wu Tang的成分有以下幾個研究發現：

1. **調節月經周期**：研究表明，Si Wu Tang能夠調節月經周期，改善女性的月經不調和其他相關問題。例如，一項研究發現，Si Wu Tang能夠改善女性月經不調的症狀，包括月經不規律和月經量過多或過少［1］。
2. **減輕痛經**：研究還發現，Si Wu Tang能夠減輕痛經的症狀。例如，一項研究發現，Si Wu Tang能夠減輕痛經的疼痛和不適［2］。
3. **調節免疫系統**：研究還發現，Si Wu Tang能夠調節免疫系統，改善女性的免疫功能。例如，一項研究發現，Si Wu Tang能夠增加女性的免疫細胞活性，改善免疫功能［3］。

綜上所述，Si Wu Tang的研究發現表明它是一種有效的中藥方劑，能夠調節女性生殖系統和調整月經周期，減輕痛經和調節免疫系統。

[常識]：中藥方劑的研究需要持續進行，以確保其安全性和有效性。中藥方劑的使用應遵守中藥學的原則和指南，且需在醫生或中醫師的指導下使用。

參考文獻：

[1] Zhang et al. (2018). Si Wu Tang improves menstrual irregularity in women with polycystic ovary syndrome. Journal of Ethnopharmacology, 211, 141-148.

[2] Li et al. (2019). Si Wu Tang reduces menstrual pain in women with primary dysmenorrhea. Journal of Women's Health, 28(10), 1331-1338.

[3] Wang et al. (2020). Si Wu Tang modulates immune function in women with polycystic ovary syndrome. Journal of Ethnopharmacology, 244, 112474.

參考文獻：

[1] Zhang et al. (2018). Si Wu Tang improves menstrual irregularity in women with polycystic ovary syndrome. Journal of Ethnopharmacology, 211, 141-148.
[2] Li et al. (2019). Si Wu Tang reduces menstrual pain in women with primary dysmenorrhea. Journal of Women's Health, 28(10), 1331-1338.
[3] Wang et al. (2020). Si Wu Tang modulates immune function in women with polycystic ovary syndrome. Journal of Ethnopharmacology, 244, 112474.

Source_file：
[1] Zhang et al. (2018). Si Wu Tang improves menstrual irregularity in women with polycystic ovary syndrome. Journal of Ethnopharmacology, 211, 141-148. pdf
[2] Li et al. (2019). Si Wu Tang reduces menstrual pain in women with primary dysmenorrhea. Journal of Women's Health, 28(10), 1331-1338. pdf
[3] Wang et al. (2020). Si Wu Tang modulates immune function in women with polycystic ovary syndrome. Journal of Ethnopharmacology, 244, 112474. pdf",2,0.65
129,獸醫師,qa,中醫,使用新方劑蕭瘿散（Xiao Ying San）時，原方中的海馬（Hai Ma）需要被取代，主要考量是什麼？取代海馬的藥材是哪些？,"Dr. Xie's comments indicate that when using the new formula Xiao Ying San, the original formula's Hai Ma needs to be substituted. What is the main consideration for this, and which herbs substitute for Hai Ma?",主要考量是因為海馬（Hippocampus）是瀕危動物，不再使用。蕭瘿散中的肉蓯蓉（Rou Cong Rong）和菟絲子（Tu Si Zi）取代了原方（指蕭瘿散或其基礎方）中的海馬。,"Cautions and Contraindications: Do not use in patients with hypertension or Yin Defi ciency
Dr. Xie ’ s Comments: Xiao Ying San can be used for both hyperthyroidism and hypothyroidism, especially in patients with renal failure. But Hai Ma (Hippocampus) in the original formula should be substituted with Rou Cong Rong (Cistanche) and Tu Si Zi (Cuscuta) because
Hai Ma (Hippocampus) is a Seahorse, which is endan-gered and no longer used.
Clinical and Pharmacological Studies: This formula is similar to Hai Zao Yu Hu Tang , but it has been adapted for patients with renal insuffi ciency. 16","根據Dr. Xie的評論，使用新配方的Xiao Ying San時，原配方中的Hai Ma需要被替換。替換的主要考慮是，Hai Ma的用量太高，可能會導致副作用。替換的草藥是：

*   雪蛤（雪蛤粉）：替換Hai Ma的用量
*   雪蛤：替換Hai Ma的用量

[常識]：Hai Ma是中國中藥中的一個成分，通常用於治療腸胃疾病和腎臟疾病。然而，Hai Ma的用量太高可能會導致副作用，因此需要替換。[1]

[常識]：雪蛤和雪蛤粉是中國中藥中的兩種成分，常用於治療腸胃疾病和腎臟疾病。雪蛤粉的用量較低，可能會導致副作用，因此需要替換。[2]

[1] 中國中藥典（2010年版）
[2] 中國中藥藥典（2015年版）",1,0.27
