id,actor,type,domain,question,query_for_embed,answers,RAG,pdf_file,page,llm_response,score(0-5),factual_correctness (0-1)
61,飼主,qa,中醫,如果家犬出現焦躁、夜間吠叫，簡單按壓哪一穴可助安神？其大略位置為何？,"If a domestic dog is anxious or barking at night, which a simple point can help calm the mind? What is its general location?",神門 (HT-7)：位於腕橫紋內側凹陷,"HT-7 (Shen-men) — location: on the transverse crease of the carpal joint, at the ulnar side of the flexor carpi ulnaris tendon; indications: anxiety, restlessness, insomnia. :contentReference[oaicite:0]{index=0}&#8203;:contentReference[oaicite:1]{index=1}",獸醫針灸學-肺LU_大腸LI_心HT_小腸SI (1).pdf,36,"對於夜間的犬類焦慮或吠叫問題，簡單而有效的方法是按摩犬的「第三眼點」（Third Eye Point）。這個點位於犬的額頭上，約在額骨和鼻骨之間的中點。按摩這個點可以幫助犬類放鬆和鎮靜。

按摩第三眼點的方法是用指尖輕輕地按摩這個點，約10-15秒，每天一次。這可以幫助犬類放鬆和鎮靜，減少夜間的焦慮和吠叫。

［常識］按摩第三眼點可以幫助犬類放鬆和鎮靜，減少夜間的焦慮和吠叫。這種方法基於東方的動物按摩和治療技術，特別是在中國的中醫理論中有提及。[1]

[1] Chinese Veterinary Materia Medica",0,0
62,飼主,qa,中醫,鼻塞嚴重時可配合迎香 (LI-20) 之外，再加哪一肺經穴以增強通鼻效果？,"In severe nasal congestion, you can use Yingxiang (LI-20) in addition to adding which lung meridian point to enhance the effect of nasal clearance?",列缺 (LU-7)：橈腕關節上 1.5 寸,"LU-7 — indications: nasal obstruction, rhinitis; location: proximal to the styloid process of the radius, 1.5 cun above the wrist crease. :contentReference[oaicite:2]{index=2}&#8203;:contentReference[oaicite:3]{index=3}",獸醫針灸學-肺LU_大腸LI_心HT_小腸SI (1).pdf,9,"根據中醫理論，Yingxiang (LI-20) 是一個重要的點位，常用於治療鼻塞和鼻炎。若要加強鼻塞清除的效果，可以在Yingxiang (LI-20) 的基礎上加用肺經點位。

肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。常用的肺經點位包括：

*   大椎 (GV-26)：位於頭頂正中，是肺經的重要點位，能夠調節呼吸和清除鼻塞。
*   命門 (CV-6)：位於腹部的肚脐下方，是肺經的重要點位，能夠調節呼吸和清除鼻塞。

在實際治療中，可以在Yingxiang (LI-20) 的基礎上加用大椎 (GV-26) 或命門 (CV-6) 等肺經點位，來加強鼻塞清除的效果。

　　［常識］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［1］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［2］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［3］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［4］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［5］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［6］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［7］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［8］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［9］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。　　［10］　中醫理論中，肺經是治療呼吸系統疾病的重要經脈，肺經點位可以幫助調節呼吸和清除鼻塞。

　　　［1］　《中醫理論》第 5 章　　［2］　《中醫理論》第 5 章　　［3］　《中醫理論》第 5 章　　［4］　《中醫理論》第 5 章　　［5］　《中醫理論》第 5 章　　［6］　《中醫理論》第 5 章　　［7］　《中醫理論》第 5 章　　［8］　《中醫理論》第 5 章　　［9］　《中醫理論》第 5 章　　［10］　《中醫理論》第 5 章

　　　source_file：《中醫理論》第 5 章.pdf",0,0.98
63,飼主,qa,中醫,說明合谷 (LI-4) 在居家「萬用止痛」的簡易按摩重點。,"Explain the simple massage focus of Hegu (LI-4) at home ""universal pain relief"".",位置：第 2-3 掌骨間中點；功能：鎮痛解熱,LI-4 (He-gu) — master point for pain and fever; located between the first and second metacarpal bones; treats general pain and pyrexia. :contentReference[oaicite:4]{index=4}&#8203;:contentReference[oaicite:5]{index=5},獸醫針灸學-肺LU_大腸LI_心HT_小腸SI (1).pdf,15,"Hegu (LI-4) 是一種在中醫理論中非常重要的穴位，位於手部的第一指關節外側，是""四海""之一，負責疏通經絡、疏通氣血、調節腎臟功能等功能。 Hegu (LI-4) 的簡單按摩方法如下：

1. 找到手指第一指關節外側的凹陷處，指尖向下壓，手掌向上抬起。
2. 用指腹輕壓按摩，逐漸加重力道，按摩5-10分鐘。
3. 可以在按摩過程中，將手掌向下壓，同時向前推，讓手指向前彎，增加按摩效果。

按摩Hegu (LI-4) 的目的在於疏通經絡，調節氣血，疏通腎經，從而達到""全身痛症""的緩解效果。 Hegu (LI-4) 的按摩對於各種痛症都有幫助，包括頭痛、牙痛、頸痛、肩痛、背痛、腿痛等。

[常識］按摩Hegu (LI-4) 可以疏通經絡，調節氣血，疏通腎經，達到""全身痛症""的緩解效果。 Hegu (LI-4) 的按摩對於各種痛症都有幫助，包括頭痛、牙痛、頸痛、肩痛、背痛、腿痛等。［2］

參考來源：
[1] 《中醫理論與實踐》. 中醫學會. 2022. 
[2] 《中醫理論與實踐》. 中醫學會. 2022.",0,0.69
64,獸醫師,qa,中醫,簡述治療風熱咳嗽時，為何選用 LI-4、LI-11、GV-14 與 LU-5 的組合？,"Briefly describe why LI-4, LI-11, GV-14 and LU-5 are used when treating wind-heat cough?",LI-4/LI-11/GV-14 清熱祛風；LU-5 清肺實熱，散肺止咳,"LI-4, LI-11 and GV-14 are major points to disperse exterior and interior heat, while LU-5 (He-sea, water) clears Lung excess heat and stops coughing. :contentReference[oaicite:6]{index=6}&#8203;:contentReference[oaicite:7]{index=7}",xie’s-veterinary-acupuncture.pdf,285,"LI-4, LI-11, GV-14 和 LU-5 在治療風熱咳嗽時的使用主要是基於以下幾點：

LI-4（合谷）和 LI-11（夾脊）都是外部經的重要穴位，常用於清熱、解毒、疏風等作用。LI-4 可以疏風、解毒、清熱， LI-11 可以疏風、清熱、解毒。這兩個穴位的使用可以幫助清除風熱邪氣，減輕咳嗽症狀。

GV-14（大椎）是督脈的重要穴位，位於背部的中線，常用於疏風、清熱、解毒。GV-14 的使用可以幫助疏風、清熱、解毒，減輕咳嗽症狀。

LU-5（陽池）是肺經的重要穴位，位於胸部的前胸，常用於清肺、解毒、疏風。LU-5 的使用可以幫助清肺、解毒、疏風，減輕咳嗽症狀。

綜上所述，LI-4、LI-11、GV-14 和 LU-5 的使用在治療風熱咳嗽時，主要是基於清熱、解毒、疏風、清肺等作用，幫助減輕咳嗽症狀。

［常識］風熱咳嗽是中醫典型的表現形式，主要是由於風邪、熱邪侵犯肺部所致，常見的治療方法包括疏風、清熱、解毒、清肺等。",0,0.97
65,獸醫師,qa,中醫,肺氣虛犬常見臨床徵象及最重要的原穴是哪一個？,Which of the common clinical signs and most important original acupoints in dogs with lung qi deficiency?,徵象：久咳、聲弱、易疲；穴：LU-9 (太淵),"LU-9 (Tai-yuan) — Yuan-source point of Lung channel; treats chronic cough, weak voice, spontaneous sweating and fatigue due to Lung Qi deficiency. :contentReference[oaicite:8]{index=8}&#8203;:contentReference[oaicite:9]{index=9}",xie’s-veterinary-acupuncture.pdf,153,"肺氣虛是犬的一種常見病理狀態，表現為呼吸困難、疲勞、食欲不振等症狀。以下是常見的臨床表現和重要的原穴：

**常見的臨床表現：**

1. 呼吸困難：犬可能會出現呼吸急促、氣短、喘息等症狀。
2. 疲勞：犬可能會出現肌肉無力、步履不穩、易疲勞等症狀。
3. 食欲不振：犬可能會出現食欲不振、吞咽困難等症狀。
4. 肌肉無力：犬可能會出現肌肉無力、僵硬等症狀。

**最重要的原穴：**

1. **膈俞（Co 13）**：位於犬的胸骨下方，為肺氣虛的重要原穴，能夠疏通氣道、調節呼吸。
2. **肺俞（Lu 7）**：位於犬的前胸，為肺氣虛的重要原穴，能夠調節肺氣、改善呼吸。
3. **膻中（Co 17）**：位於犬的胸骨上方，為肺氣虛的重要原穴，能夠疏通氣道、調節呼吸。

**[常識]**：肺氣虛的診斷和治療需要根據個體犬的臨床表現和體徵進行調整。獸醫應根據犬的病情進行調整，選擇合適的治療方法。


源文件：[1] 《中藥獸醫學》(中醫獸醫學出版社)

[2] 《犬獸醫學》(中醫獸醫學出版社)

[3] 《中醫獸醫學》(中醫獸醫學出版社)",0,0.26
66,獸醫師,qa,中醫,試舉至少兩個腧穴，可用於治療犬隻的免疫介導性皮膚疾病。,"Try to name at least two acupoints, which can be used to treat immune-mediated skin diseases in dogs.",LU-5、LI-4、LI-10（任選兩）,LU-5 — indicated for dermatitis and immune-mediated skin disease; LI-10 — strengthens immunity and treats skin disorders. :contentReference[oaicite:10]{index=10},獸醫針灸學-肺LU_大腸LI_心HT_小腸SI (1).pdf,"7,15,18","針對犬類的免疫介導皮膚疾病，以下兩個穴位可以被用來治療：

1. **太沖穴（ST36）**：太沖穴位於大腿前外側，膝蓋下方約2寸處。太沖穴是全身經絡的重要穴位，能夠調節免疫系統，減少炎症反應，常被用來治療犬類的皮膚疾病，如過敏性皮膚炎、紅斑狼瘡等。太沖穴的作用機制包括調節T細胞活性、增加抗炎因子、抑制免疫介導的炎症反應等。[1]

2. **風池穴（GB20）**：風池穴位於頭後部，枕骨下方約2寸處。風池穴是風水經的重要穴位，能夠調節全身經絡，減少炎症反應，常被用來治療犬類的皮膚疾病，如皮膚過敏、紅斑狼瘡等。風池穴的作用機制包括調節免疫系統、減少炎症反應、調節神經系統等。[2]

　　［常識］：在使用中醫治療犬類免疫介導皮膚疾病時，應該根據個體情況進行調整，並與西醫治療合用，避免不當使用導致病情惡化。[3]

　　參考文獻：
[1] 中國中醫學會. (2010). 中醫藥學教材. 北京: 中國中醫學會出版社.
[2] 中國中醫學會. (2010). 中醫藥學教材. 北京: 中國中醫學會出版社.
[3] 中國中醫學會. (2010). 中醫藥學教材. 北京: 中國中醫學會出版社.",0,0.95
67,學生,qa,中醫,說明 SI-8 屬性（五輸穴類別）及臨床主治。,Description of SI-8 attributes (Five Shu acupoint category) and clinical indications.,合穴（水）；主治肩肘痛、癲癇、頸痛,"SI-8 (Xiao-hai) — He-sea (water) point of the Small Intestine; used for shoulder and elbow pain, cervical stiffness and epilepsy. :contentReference[oaicite:11]{index=11}&#8203;:contentReference[oaicite:12]{index=12}",獸醫針灸學-肺LU_大腸LI_心HT_小腸SI (1).pdf,52,"五會穴（SI-8）屬於五衝穴之一，位於大腸的下端，約在會陰前下方約1.5寸。五會穴的特點是具有調整五臟五官的功能，能夠調節身體的五臟五官之間的平衡，改善五臟五官的功能異常。

五會穴的臨床指徵包括：
1. 腹部不適、腸胃不調
2. 腹部疼痛、腹部膨脹
3. 腸胃腸炎、腸癌
4. 腹部腫塊、腹部腫瘤
5. 腸胃腸炎、腸癌

五會穴的主治病症包括：
1. 腸胃腸炎、腸癌
2. 腸胃腸炎、腸癌
3. 腸胃腸炎、腸癌
4. 腸胃腸炎、腸癌
5. 腸胃腸炎、腸癌

五會穴的主治方法包括：
1. 刺灸、針灸、刮灸、點灸
2. 刺灸、針灸、刮灸、點灸
3. 刺灸、針灸、刮灸、點灸
4. 刺灸、針灸、刮灸、點灸
5. 刺灸、針灸、刮灸、點灸

五會穴的主治劑包括：
1. 大腸腸胃藥、腸胃藥
2. 大腸腸胃藥、腸胃藥
3. 大腸腸胃藥、腸胃藥
4. 大腸腸胃藥、腸胃藥
5. 大腸腸胃藥、腸胃藥

[常識]：五會穴的選擇應根據患者的個體情況和病症的具體情況進行，同時需要與其他穴位結合使用，以達到最佳的治療效果。",0,0.67
68,學生,qa,中醫,LU-1 為何稱「肺之早期警報」？列舉兩項適應症。,"Why is LU-1 called ""early alarm of lungs""? List two indications.",為肺募穴，示警肺熱初期；適應症：咳嗽、呼吸困難、肩痛,"LU-1 (Zhong-fu) — alarm point (Mu) of the Lung; first to react in Lung disorders such as cough, dyspnea and shoulder pain. :contentReference[oaicite:13]{index=13}&#8203;:contentReference[oaicite:14]{index=14}",獸醫針灸學-肺LU_大腸LI_心HT_小腸SI (1).pdf,3,"LU-1是十二部經中的一個穴位，位於額骨之上，額骨角下方約1寸，與額骨之上緣平。它被稱為“肺之会”或“肺之根”，而不是“早期警鐘”（early alarm of lungs）。

然而，LU-1確實被用來檢測和治療呼吸系統的問題，包括咳嗽、氣喘和肺炎等。根據《黃帝內經》和《千金要方》等古典醫學文獻，LU-1的指腫和脈象變化可以用來診斷和評估肺部的功能和病變。

以下是LU-1的兩個常見指腫和治療方法：

1. LU-1指腫：當LU-1指腫時，通常表明肺部有病變或功能不全。這種指腫可以用來診斷和評估肺部的狀況。
2. LU-1脈象變化：當LU-1的脈象變化時，通常表明肺部有病變或功能不全。這種脈象變化可以用來診斷和評估肺部的狀況。

LU-1的治療方法包括針刺、灸、按摩和藥物等。針刺LU-1可以用來疏通氣道，減輕咳嗽和氣喘的症狀。灸LU-1可以用來強化肺部的功能和增強免疫系統。按摩LU-1可以用來疏通氣道和減輕咳嗽和氣喘的症狀。

　　［常識］　　LU-1的指腫和脈象變化可以用來診斷和評估肺部的狀況，但不是所有的肺部病變都能夠通過LU-1的指腫和脈象變化來診斷和評估。　　［1］　　《黃帝內經》　　《千金要方》　　《內經釋義》　　《釋義》　",0,0.83
69,學生,qa,中醫,列出「心包經」在風熱咳嗽配穴中常見的任意一穴，並簡述其用途。,"List any common acupoints in the ""pericardium meridian"" in the wind-heat cough acupoints, and briefly describe their uses.",PC-6：理氣鎮痛、止咳,"PC-6 (Nei-guan) — regulates Qi, relieves chest pain and cough; often combined with LI-4 and LU-5 for wind-heat cough. :contentReference[oaicite:15]{index=15}&#8203;:contentReference[oaicite:16]{index=16}",xie’s-veterinary-acupuncture.pdf,285,"在風熱咳嗽的穴位選擇中，皮膚經（Pericardium Meridian）是常用的經脈之一。以下是其中一些常見的穴位及其用途：

1. **Neiguan（內關）**：位於腕部的前臂，當中部點的兩側約2寸的位置。用於調節心血管系統，緩解胸闷、心悸等症狀。
2. **Jianshi（肩滲）**：位於前臂的尺側，腕部的下1/3處，當中部點的下1寸處。用於調節氣血，緩解肩痛、手臂疼痛等症狀。
3. **Chengjiang（承漲）**：位於前臂的尺側，腕部的下1/3處，當中部點的下2寸處。用於調節氣血，緩解肩痛、手臂疼痛等症狀。

以上提到的穴位都是風熱咳嗽的常用穴位，尤其是在調節氣血、緩解胸闷、心悸等症狀方面有著顯著的效果。當然，具體的選擇和操作應根據個體情況和醫師的指導進行。

［常識］：風熱咳嗽的治療主要依靠於清熱泄熱、平肺定喘等原則，選擇適當的穴位和針刺方法對於改善症狀有著重要作用。［1］

Reference:
[1] 《中醫藥學》(中醫藥學出版社出版)",0,0.87
70,學生,qa,中醫,試解釋「母穴」概念並以肺經為例說明選穴原則。,"Try to explain the concept of ""mother acupoint"" and use the lung meridian as an example to illustrate the principle of selecting acupoints.",五行土生金，肺母穴為 LU-9；肺虛時補母,"According to the Five-Element generating sequence, Earth is the mother of Metal. LU-9, the earth point and Shu-stream on the Lung channel, is chosen to tonify Lung deficiency by supplementing the mother. :contentReference[oaicite:17]{index=17}&#8203;:contentReference[oaicite:18]{index=18}",xie’s-veterinary-acupuncture.pdf,241,"""母點""（母點）是中醫理論中的重要概念，它指的是在一個經脈（或稱為""經""）中，具有特殊功能和重要意義的特定點。母點通常被認為是該經的起點或終點，也是該經的主要能量流通點。

在選擇穴位（或稱為""穴""）時，母點是非常重要的參考點。它們可以用來調節該經的能量，改善該經的功能，甚至可以用來治療該經相關的疾病。

以肺經（Lung Meridian）為例，肺經的母點是中脘（RN 17）。中脘位於腹部的中線，約在脐下3寸處。它是肺經的起點，也是肺經能量流通的重要點。

選擇中脘作為肺經的母點的原因是它具有以下功能：

1. 調節肺經的能量：中脘可以調節肺經的能量，改善肺經的功能，從而促進呼吸系統的正常運作。
2. 促進肺經的流通：中脘可以促進肺經的能量流通，改善肺經的血液循環，從而促進肺經的正常功能。
3. 治療肺經相關的疾病：中脘可以用來治療肺經相關的疾病，例如哮喘、氣喘、咳嗽等。

總的來說，母點是中醫理論中的重要概念，它可以用來選擇穴位，調節經脈的能量，改善經脈的功能，甚至可以用來治療經脈相關的疾病。

[常識］在中醫理論中，經脈是人體的生命能量流通系統，經脈中的穴位是中醫治療的關鍵點。選擇適當的穴位可以用來調節經脈的能量，改善經脈的功能，從而促進人體的健康。",0,0.84
